"","flight_no","aircraft","origin","sch_dep_time","est_arr_time","city","tiempo1"
"79"," AVA9487","A320","Vasquez Cobo Int'l (LET / SKLT)","Wed 02:49PM -05","Wed 04:34PM -05","Bogata",0
"80"," AVA9202","A321","Alfonso Bonilla Aragon Int'l (CLO / SKCL)","Wed 04:00PM -05","Wed 04:42PM -05","Bogata",1
"87"," AVA9779","A320","Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP)","Wed 03:05PM -05","Wed 04:49PM -05","Bogata",2
"97"," TPA4131","B762","Miami Intl (KMIA)","Wed 03:15PM EST","Wed 06:28PM -05","Bogata",0
"102"," AVA247","A320","Washington Dulles Intl (KIAD)","Wed 02:02PM EST","Wed 07:31PM -05","Bogata",6
"105"," AVA11","B788","Barajas Int'l (MAD / LEMD)","Wed 04:35PM CET","Wed 08:57PM -05","Bogata",7
"109"," NAC860","B763","Miami Intl (KMIA)","Wed 01:03PM EST","Wed 07:16PM -05","Lima",0
"112"," KLM743","B77W","Amsterdam Schiphol (AMS / EHAM)","Wed 12:45PM CET","Wed 06:50PM -05","Lima",1
"122"," LPE2431","B763","Barcelona Int'l (BCN / LEBL)","Wed 03:35PM CET","Wed 10:22PM -05","Lima",9
"125"," LPE2473","A320","Orlando Intl (KMCO)","Wed 04:28PM EST","Wed 10:17PM -05","Lima",0
"126"," LPE2473","A320","Orlando Intl (KMCO)","Wed 04:28PM EST","Wed 10:31PM -05","Lima",0
"138"," CMP132","B737","Jorge Chavez Int'l (LIM / SPJC)","Wed 04:25PM -05","Wed 07:26PM EST","Panama City",7
"144"," CMP333","B738","Miami Intl (KMIA)","Wed 04:47PM EST","Wed 07:29PM EST","Panama City",5
"145"," CMP445","B738","Orlando Intl (KMCO)","Wed 04:46PM EST","Wed 08:01PM EST","Panama City",4
"147"," CMP305","B738","Washington Dulles Intl (KIAD)","Wed 03:39PM EST","Wed 08:32PM EST","Panama City",4
"149"," CMP135","B738","Lic. Benito Juarez Int'l (MEX / MMMX)","Wed 03:40PM CST","Wed 08:14PM EST","Panama City",6
